
       instance   k    n     m  heu_timelimit  exact_timelimit  do_confirm_crit  confirm_timelimit  do_exact   ss  chroma_k_early  chroma_k  crit  edges  num_perturb  repl     time  time_confirm  time_color  calls_to_coloring  heu_mistakes  avg_perturb_str      ttb  itb  num_flips  num_bt  infeas  seed
 rand-50-0.15-1   6   50   331            0.5                1                1               1800         0   21               0         1     1     91          128     0     1800     0.0241029     1799.94               7820             0         0.976378  79.5319    5       7849       0       0     1
 rand-50-0.15-1   6   50   331            0.5                1                1               1800         0   21               0         1     1     91          129     0     1800     0.0240701     1799.94               7903             0         0.984375  105.541    7       7951       0       0     2
 rand-50-0.15-1   6   50   331            0.5                1                1               1800         0   21               0         1     1     91          128     0     1800     0.0431745     1799.92               7860             0         0.992126  64.0225    4       7869       0       0     3
 rand-50-0.15-1   6   50   331            0.5                1                1               1800         0   21               0         1     1     91          127     0     1800     0.0431542     1799.92               7824             0          1.04762  116.042    8       7833       0       0     4
 rand-50-0.15-1   6   50   331            0.5                1                1               1800         0   21               0         1     1     91          127     0     1800     0.0238902     1799.94               7794             0         0.992063  90.5389    6       7773       0       0     5
 rand-50-0.15-1   6   50   331            0.5                1                1               1800         0   21               0         1     1     91          126     0     1800     0.0239089     1799.94               7776             0             1.12  175.572   12       7733       0       0     6
 rand-50-0.15-1   6   50   331            0.5                1                1               1800         0   21               0         1     1     91          127     0     1800     0.0425805     1799.92               7787             0         0.968254  158.566   11       7741       0       0     7
 rand-50-0.15-1   6   50   331            0.5                1                1               1800         0   21               0         1     1     91          128     0     1800     0.0424809     1799.92               7856             0          0.96063  156.559   11       7881       0       0     8
 rand-50-0.15-1   6   50   331            0.5                1                1               1800         0   21               0         1     1     91          127     0     1800     0.0238034     1799.94               7797             0          1.04762  119.549    8       7786       0       0     9
 rand-50-0.15-1   6   50   331            0.5                1                1               1800         0   21               0         1     1     91          126     0     1800     0.0238813     1799.94               7711             0            1.056  79.5315    5       7686       0       0    10
 rand-50-0.15-2   6   50   344            0.5                1                1               1800         0   26               0         1     1    121          136     0     1800     0.0523459     1799.89               8099             0         0.955556  41.0352    3       8120       0       0     1
 rand-50-0.15-2   6   50   344            0.5                1                1               1800         0   26               0         1     1    121          139     0     1800     0.0525739      1799.9               7885             0          1.07971  42.0295    3       7870       0       0     2
 rand-50-0.15-2   6   50   344            0.5                1                1               1800         0   26               0         1     1    121          136     0     1800     0.0303653     1799.93               8132             0          0.97037  601.767   47       8153       0       0     3
 rand-50-0.15-2   6   50   344            0.5                1                1               1800         0   26               0         1     1    121          136     0     1800     0.0297102     1799.93               8060             0          1.05185  216.102   17       8063       0       0     4
 rand-50-0.15-2   6   50   344            0.5                1                1               1800         0   26               0         1     1    121          136     0     1800     0.0526316     1799.91               8291             0         0.903704  725.804   56       8352       0       0     5
 rand-50-0.15-2   6   50   344            0.5                1                1               1800         0   26               0         1     1    121          136     0     1800     0.0528059     1799.91               8115             0          1.05185  189.077   14       8121       0       0     6
 rand-50-0.15-2   6   50   344            0.5                1                1               1800         0   26               0         1     1    121          135     0     1800     0.0299074     1799.93               8016             0          1.02239  42.0187    3       7980       0       0     7
 rand-50-0.15-2   6   50   344            0.5                1                1               1800         0   23               0         1     1    102          130     0     1800     0.0264076     1799.94               7969             0          1.04651  394.683   29       7975       0       0     8
 rand-50-0.15-2   6   50   344            0.5                1                1               1800         0   26               0         1     1    121          135     0     1800     0.0531107     1799.91               7996             0          1.11194  64.0322    5       7940       0       0     9
 rand-50-0.15-2   6   50   344            0.5                1                1               1800         0   26               0         1     1    121          137     0     1800     0.0526467     1799.91               7975             0          1.06618  266.621   21       7904       0       0    10
 rand-50-0.15-3   6   50   343            0.5                1                1               1800         0   27               0         1     1    136          137     0     1800     0.0322431     1799.92               7951             0          1.07353  20.5217    1       7866       0       0     1
 rand-50-0.15-3   6   50   343            0.5                1                1               1800         0   27               0         1     1    136          135     0     1800     0.0315934     1799.93               8163             0         0.977612  20.5108    1       8147       0       0     2
 rand-50-0.15-3   6   50   343            0.5                1                1               1800         0   27               0         1     1    136          134     0     1800     0.0559613     1799.91               8245             0         0.887218  20.5088    1       8237       0       0     3
 rand-50-0.15-3   6   50   343            0.5                1                1               1800         0   27               0         1     1    136          135     0     1800     0.0556793     1799.91               8148             0         0.955224  20.5104    1       8111       0       0     4
 rand-50-0.15-3   6   50   343            0.5                1                1               1800         0   27               0         1     1    136          135     0     1800     0.0322038     1799.93               8176             0         0.925373  20.5095    1       8163       0       0     5
 rand-50-0.15-3   6   50   343            0.5                1                1               1800         0   27               0         1     1    136          135     0     1800     0.0321547     1799.93               8151             0          1.02239  20.5096    1       8132       0       0     6
 rand-50-0.15-3   6   50   343            0.5                1                1               1800         0   27               0         1     1    136          134     0     1800     0.0549288     1799.91               8256             0         0.857143   20.509    1       8233       0       0     7
 rand-50-0.15-3   6   50   343            0.5                1                1               1800         0   27               0         1     1    136          135     0     1800     0.0550479      1799.9               8112             0          1.01493  20.5095    1       8059       0       0     8
 rand-50-0.15-3   6   50   343            0.5                1                1               1800         0   27               0         1     1    136          134     0     1800     0.0316505     1799.93               8228             0         0.902256  20.5088    1       8181       0       0     9
 rand-50-0.15-3   6   50   343            0.5                1                1               1800         0   27               0         1     1    136          136     0     1800      0.032174     1799.93               8026             0          1.02963  20.5098    1       7945       0       0    10
