
       instance   k  n_red   m_red     n       m  heu_timelimit  exact_timelimit  do_confirm_crit  confirm_timelimit    R  reltg_size  do_heu   ss  ss_gen_1st  ss_fin_1st  chroma_k_early  chroma_k  crit_early  crit  edges     time  time_pp  time_confirm_crit  time_color  iter      ttb  itb  max_iter_diff  ss_fin_avg  ss_gen_avg  ss_gen_best  num_size_att  heu_mistakes  num_pp  avg_pp_reduced  avg_pp_skipped  calls_to_coloring  num_gen_subsets  infeas  clique_start  color_not_ok  seed
         wap01a  42   1760   91229  2368  110871            0.5                1                1               7200  200        1.08       1  270        1760         273               0         0           1     1  12808  7200.01  4539.46               7200     6506.35   154  7200.01  153            115    0.877201    0.893291          269           342             0     153         4.92157         30.6536              83646            46800       0            40             0    10
         wap02a  41   1698   86519  2464  111742            0.5                1                1               7200  200        1.08       1  362        1698         368               0         0           1     1  17452  7200.01  3985.21         0.00731617      6331.4   139  3033.86   54             32     1.16303     1.17395          362           319             0     138         3.43478         2.52174              93692            43427       0            40             0     1
         wap02a  41   1698   86519  2464  111742            0.5                1                1               7200  200        1.08       1  358        1698         370               0         0           1     1  13511     7200  4011.52               7200     6320.37   141  4468.86   81             25     1.14023     1.15069          353           328             0     140         3.32857         2.87857              95202            44541       0            40             0     2
         wap02a  41   1698   86519  2464  111742            0.5                1                1               7200  200        1.08       1  364        1698         353               0         0           1     1  13808     7200  4064.31               7200     6338.88   141  4431.27   83             41     1.19976     1.21131          353           301             0     139         3.53237         2.81295              93272            42525       0            40             0     3
         wap02a  41   1698   86519  2464  111742            0.5                1                1               7200  200        1.08       1  367        1698         380               0         0           1     1  17635     7200  4014.13               7200     6342.43   135  6028.49  109             57     1.18915     1.20104          362           320             0     134         3.69403         2.47015              90908            41603       0            40             0     4
         wap02a  41   1698   86519  2464  111742            0.5                1                1               7200  200        1.08       1  367        1698         358               0         0           1     1  17766     7200  3986.68               7200     6327.68   137  6138.46  114             50     1.17284     1.18381          358           304             0     136         3.44853         2.94118              92614            42761       0            40             0     5
         wap02a  41   1698   86519  2464  111742            0.5                1                1               7200  200        1.08       1  368        1698         353               0         0           1     1  17817     7200  4069.63               7200     6388.34   136  3587.87   66             32     1.18929     1.20156          353           292             0     132         3.81818         2.78788              89689            41074       0            40             0     6
         wap02a  41   1698   86519  2464  111742            0.5                1                1               7200  200        1.08       1  359        1698         353               0         0           1     1  17364  7200.01   3951.9               7200     6307.48   141  6361.58  121             44     1.13854     1.14852          353           315             0     140         3.19286             2.6              95689            44802       0            40             0     7
         wap02a  41   1698   86519  2464  111742            0.5                1                1               7200  200        1.08       1  367        1698         365               0         0           1     1  13617     7200  3996.89         0.00775817      6358.9   131  4160.64   73             25     1.18351     1.19433          365           295             0     130             3.4         1.99231              89099            40837       0            40             0     8
         wap02a  41   1698   86519  2464  111742            0.5                1                1               7200  200        1.08       1  360        1698         353               0         0           1     1  13603  7200.01  4020.84               7200     6343.97   134  6774.03  124             69     1.15091     1.16269          353           298             0     132         3.77273          2.7803              90917            42284       0            40             0     9
